"Órgão","Sigla","Unidade","Quantidade"
"EMC","EMC/CONTRATOS","Contratos","8"
"UNIMONTES","UNIMONTES/PRPGF/DSUP/CTERC","Contratos de Terceirização","25"
"HEMOMINAS","HEMOMINAS/G.GPO.CCO","Contratos e Convênios","148"
"SEPLAG","SEPLAG/RAM - CONTRATOS TEMP.","Contratos Temporários - Pró-Brumadinho","8"
"HEMOMINAS","HEMOMINAS/I.GFC.CTT","Contratualização","50"
"CGE","CGE/ADJUNTO","Controlador-Adjunto","50"
"UNIMONTES","UNIMONTES/HUCF/SUP/CUSTOS","Controladoria do Hospital Universitário Clemente de Faria","53"
"TVMINAS","TVMINAS/CONTROLADORIA","Controladoria Seccional","226"
"IPEM","IPEM/CSEC","Controladoria Seccional","27"
"FHA","FHA/CONTROLADORIA","Controladoria Seccional","50"
"UNIMONTES","UNIMONTES/AUDIT","Controladoria Seccional","146"
"JUCEMG","JUCEMG/CSEC","Controladoria Seccional","2"
"IPSM","IPSM/CSEC","Controladoria Seccional","187"
"DER","DER/CSEC","Controladoria Seccional - DER/DG/CSEC","121"
"CGE","CGE/CSEC_TVMINAS/COMISSOES","Controladoria Seccional TV Minas Comissões Processantes","31"
"CGE","CGE/CSEC_ARMBH","Controladoria Seccional-ARMBH","52"
"CGE","CGE/CSEC_ARSAE","Controladoria Seccional-ARSAE","115"
"CGE","CGE/CSEC_DER","Controladoria Seccional-DER","79"
"CGE","CGE/CSEC_FAOP","Controladoria Seccional-FAOP","250"
"CGE","CGE/CSEC_FAPEMIG","Controladoria Seccional-FAPEMIG","24"
"CGE","CGE/CSEC_FCS","Controladoria Seccional-FCS","180"
"CGE","CGE/CSEC_FEAM","Controladoria Seccional-FEAM","35"
"CGE","CGE/CSEC_FHA","Controladoria Seccional-FHA","65"
"CGE","CGE/CSEC_FHEMIG","Controladoria Seccional-FHEMIG","50"
"CGE","CGE/CSEC_FJP","Controladoria Seccional-FJP","209"
"CGE","CGE/CSEC_FUCAM","Controladoria Seccional-FUCAM","97"
"CGE","CGE/CSEC_FUNED","Controladoria Seccional-FUNED","78"
"CGE","CGE/CSEC_HEMOMINAS","Controladoria Seccional-HEMOMINAS","57"
"CGE","CGE/CSEC_IDENE","Controladoria Seccional-IDENE","54"
"CGE","CGE/CSEC_IEF","Controladoria Seccional-IEF","20"
"CGE","CGE/CSEC_IEPHA","Controladoria Seccional-IEPHA","21"
"CGE","CGE/CSEC_IGAM","Controladoria Seccional-IGAM","77"
"CGE","CGE/CSEC_IMA","Controladoria Seccional-IMA","23"
"CGE","CGE/CSEC_IPEM","Controladoria Seccional-IPEM","13"
"CGE","CGE/CSEC_IPSEMG","Controladoria Seccional-IPSEMG","753"
"CGE","CGE/CSEC_IPSM","Controladoria Seccional-IPSM","161"
"CGE","CGE/CSEC_JUCEMG","Controladoria Seccional-JUCEMG","4"
"CGE","CGE/CSEC_LEMG","Controladoria Seccional-LEMG","52"
"CGE","CGE/CSEC_TVMINAS","Controladoria Seccional-TVMINAS","170"
"CGE","CGE/CSEC_UEMG","Controladoria Seccional-UEMG","184"
"CGE","CGE/CSEC_UNIMONTES","Controladoria Seccional-UNIMONTES","146"
"CGE","CGE/CSEC_UTRAMIG","Controladoria Seccional-UTRAMIG","151"
"SECOM","SECOM/CSET","Controladoria Setorial","7"
"AGE","AGE/CSE","Controladoria Setorial","54"
"SEF","SEF/CS","Controladoria Setorial da Fazenda","42"
"CGE","CGE/CSET_AGE","Controladoria Setorial-AGE","19"
"CGE","CGE/CSET_CGE","Controladoria Setorial-CGE","9"
"CGE","CGE/CSET_ESP","Controladoria Setorial-ESP","194"
"CGE","CGE/CSET_GMG","Controladoria Setorial-GMG","97"
"CGE","CGE/CSET_OGE","Controladoria Setorial-OGE","50"
"CGE","CGE/CSET_PCMG","Controladoria Setorial-PCMG","9"
"CGE","CGE/CSET_PRODEMGE","Controladoria Setorial-PRODEMGE","59"
"CGE","CGE/CSET_SCC","Controladoria Setorial-SCC","12"
"CGE","CGE/CSET_SEAPA","Controladoria Setorial-SEAPA","193"
"CGE","CGE/CSET_SEC","Controladoria Setorial-SEC","59"
"CGE","CGE/CSET_SECIR","Controladoria Setorial-SECIR","8"
"CGE","CGE/CSET_SECOM","Controladoria Setorial-SECOM","46"
"CGE","CGE/CSET_SECULT","Controladoria Setorial-SECULT","216"
"CGE","CGE/CSET_SEDA","Controladoria Setorial-SEDA","16"
"CGE","CGE/CSET_SEDE","Controladoria Setorial-SEDE","23"
"CGE","CGE/CSET_SEDESE","Controladoria Setorial-SEDESE","102"
"CGE","CGE/CSET_SEDPAC","Controladoria Setorial-SEDPAC","18"
"CGE","CGE/CSET_SEE","Controladoria Setorial-SEE","48"
"CGE","CGE/CSET_SEE/DENUNCIAS","Controladoria Setorial-SEE - Denúncias","6"
"CGE","CGE/CSET_SEESP","Controladoria Setorial-SEESP","36"
"CGE","CGE/CSET_SEF","Controladoria Setorial-SEF","18"
"CGE","CGE/CSET_SEGOV","Controladoria Setorial-SEGOV","59"
"CGE","CGE/CSET_SEINFRA","Controladoria Setorial-SEINFRA","68"
"CGE","CGE/CSET_SEJUSP","Controladoria Setorial-SEJUSP","157"
"CGE","CGE/CSET_SEMAD","Controladoria Setorial-SEMAD","38"
"CGE","CGE/CSET_SEPLAG","Controladoria Setorial-SEPLAG","28"
"CGE","CGE/CSET_SES","Controladoria Setorial-SES","156"
"CGE","CGE/CSET_SISEMA","Controladoria Setorial-SISEMA","15"
"CGE","CGE/AGE_PAR","Controladoria-Geral do Estado/Advocacia-Geral do Estado - Processo Administrativo de Responsabilização","57"
"UNIMONTES","UNIMONTES/SG/CA","Controle Acadêmico da Secretaria Geral","10"
"UNIMONTES","UNIMONTES/SG/EDFISICAJANUARIA","Controle Acadêmico do Curso","17"
"SEPLAG","SEPLAG/CONTR.CLIN","Controle de Clínicas","25"
"FCS","FCS/GRH-FREQUENCIA","Controle de Frequência do RH","123"
"FCS","FCS/PROF","Controle de Frequência dos Professores","100"
"UNIMONTES","UNIMONTES/PREX/CAE/FREQUENCIA","Controle de Frequência Estagiários","918"
"PCMG","PCMG/1DRPC/S LAGOAS/FROTA","Controle de Frota/1DRPC/SETE LAGOAS/19DepPC/PCMG","60"
"FCS","FCS/GRH-PAGAMENTO","Controle de Pagamentos","38"
"PCMG","PCMG/SPGF/DLPM/INVENTARIO","Controle de Patrimonio Bens Móveis - Inventário PCMG","136"
"SES","SES/GAB-ATI-NISTI-IND","Controle de Processos Indenizatórios","29"
"HEMOMINAS","HEMOMINAS/T.GCQ.SERV","Controle de Qualidade Servidores","149"
"PMMG","PMMG/COMAVE/CALog/TDCO/CONV.","Controle e Acompanhamentos de TDCOs e Convênios","22"
"PCMG","PCMG/5DepPC/UBERABA/CONTER","Controle Especial de reincidência/5DepPC/UBERABA/PCMG","97"
"SEPLAG","SEPLAG/SCAC-FINANCEIRO","Controle Financeiro-Orçamentário","20"
"SECOM","SECOM/SCP/DPDP/CI","Controle Interno","636"
"SECGERAL","SECGERAL/SUBSECOM/NCP/DOT/CI","Controle Interno","391"
"GMG","GMG/ST/DTA/CTM","Controle Técnico de Manutenção e Contratos","109"
"GMG","GMG/SPGF/DCF/CONVENIO 01 789","Convênio 01 ajuda humanitária Cedec","1"
"CGE","CGE/COGE_PREF.CONTAGEM","Convênio entre a Corregedoria-Geral e a Corregedoria-Geral da Prefeitura de Contagem","3"
"GMG","GMG/SPGF/DCF/CONVENIO FR 60","Convênio Fonte 60 Loteria Mineira","42"
"TVMINAS","TVMINAS/CONVENIOS","Convênios","6"
"PCMG","PCMG/SPGF/DCC/CONVÊNIOS CAIO","Convênios Comp. Açoes. Inform e outros/DCC/SPGF/PCMG","1"
"CODEMGE","CODEMGE/GEPAT/CONVÊNIOS ENGENH","Convênios de Engenharia","15"
"SEDESE","SEDESE/SUBPG-SCPC-DGTC-ENT","Convênios de Entrada","25"
"UNIMONTES","UNIMONTES/CONVENIOSESTAGIOS","Convênios de estágio obrigatório e não obrigatório","212"
"UNIMONTES","UNIMONTES/HUCF/SUP/CUSTOS/CONV","Convênios do Hospital Universitário Clemente de Faria","168"
"PCMG","PCMG/SPGF/DCC/CONVÊNIOS RRMCS","Convênios Rep. Recur. Mat e Cess./DCC/SPGF/PCMG","37"
"SES","SES/URSALF-CONVÊNIOS","Convênios Unidade Regional de Alfenas","39"
"SES","SES/URSBRB-CONVÊNIOS","Convênios Unidade Regional de Saúde de Barbacena","68"
"SES","SES/URSBH-CONVÊNIOS","Convênios Unidade Regional de Saúde de Belo Horizonte","90"
"SES","SES/URSCFA-CONVÊNIOS","Convênios Unidade Regional de Saúde de Coronel Fabriciano","37"
"SES","SES/URSDIA-CONVÊNIOS","Convênios Unidade Regional de Saúde de Diamantina","147"
"SES","SES/URSGVA-CONVÊNIOS","Convênios Unidade Regional de Saúde de Governador Valadares","22"
"SES","SES/URSITA-CONVÊNIOS","Convênios Unidade Regional de Saúde de Itabira","153"
"SES","SES/URSITU-CONVÊNIOS","Convênios Unidade Regional de Saúde de Ituiutaba","10"
"SES","SES/URSJAN-CONVÊNIOS","Convênios Unidade Regional de Saúde de Januária","30"
"SES","SES/URSLPD-CONVÊNIOS","Convênios Unidade Regional de Saúde de Leopoldina","143"
"SES","SES/URSMAN-CONVÊNIOS","Convênios Unidade Regional de Saúde de Manhuaçu","11"
"SES","SES/URSPAS-CONVÊNIOS","Convênios Unidade Regional de Saúde de Passos","191"
"SES","SES/URSPAT-CONVÊNIOS","Convênios Unidade Regional de Saúde de Patos de Minas","7"
"SES","SES/URSPAZ-CONVÊNIOS","Convênios Unidade Regional de Saúde de Pedra Azul","161"
"SES","SES/URSPIR-CONVÊNIOS","Convênios Unidade Regional de Saúde de Pirapora","55"
"SES","SES/URSPNO-CONVÊNIOS","Convênios Unidade Regional de Saúde de Ponte Nova","343"
"SES","SES/URSPOU-CONVÊNIOS","Convênios Unidade Regional de Saúde de Pouso Alegre","86"
"SES","SES/URSSET-CONVÊNIOS","Convênios Unidade Regional de Saúde de Sete Lagoas","3"
"SES","SES/URSUBA-CONVÊNIOS","Convênios Unidade Regional de Saúde de Ubá","37"
"SES","SES/URSURA-CONVÊNIOS","Convênios Unidade Regional de Saúde de Uberaba","91"
"SES","SES/URSUDI-CONVÊNIOS","Convênios Unidade Regional de Saúde de Uberlândia","20"
"SES","SES/URSUNA-CONVÊNIOS","Convênios Unidade Regional de Saúde de Unaí","5"
"SES","SES/URSVAR-CONVÊNIOS","Convênios Unidade Regional de Saúde de Varginha","92"
"UEMG","UEMG/ITUIUTABA/COQUIMICA","Coodenação do Curso de Química UEMG Ituiutaba","127"
"UEMG","UEMG/COEX","Coodenadoria de Extensão","181"
"SEJUSP","SEJUSP/INTEGRADO_AII","Cooperação Técnica da Assessoria de Informação e Inteligência Prisional","48"
"UNIMONTES","UNIMONTES/JANAUBA/COOPERAGRO","Cooperativa dos Alunos, Professores e Funcionários das Ciências Agrárias da UNIMONTES Limitada (COOPERAGRO) - Campus de Janaúba","22"
"UEMG","UEMG/DIVINOPOLIS/CIEPP","Coord. Integradas Extensão, Pesquisa e Pós Graduação UEMG Divinópolis","211"
"UEMG","UEMG/DIVINOPOLIS/COORDCHEF","Coordenação","5"
"FCS","FCS/CRAR","Coordenação a Residência Artística","4"
"CGE","CGE/CSET_SEJUSP/NUCAD_CAAAC","Coordenação Adjunta de Análise e Admissibilidade Correicional","305"
"CGE","CGE/CSET_SEJUSP/NUCAD_CAOPC","Coordenação Adjunta de Orientação e Prevenção Correicional","704"
"CGE","CGE/CSET_SEJUSP/NUCAD_CACOM","Coordenação Adjunta de Planejamento e Coordenação de Comissões Disciplinares","421"
"PCMG","PCMG/COE/COORDENACAO ADJUNTA","COORDENACAO ADJUNTA/Coordenadoria de Operações Estratégicas/COE/PCMG","7"
"SEF","SEF/STI-DPT-CAPE","Coordenação Administrativa e de Pessoal","237"
"UEMG","UEMG/ITUIUTABA/COADM","Coordenação Administrativa UEMG Ituiutaba","393"
"PCMG","PCMG/ACADEPOL/COORD ADMIN","Coordenação Administrativa/ACADEPOL/PCMG","14"
"PCMG","PCMG/COE/COORDENACAO ADMINISTR","COORDENACAO ADMINISTRATIVA/Coordenadoria de Operações Estratégicas/COE/PCMG","3"
"PCMG","PCMG/CAPCMG/COORD AEROTÁTICA","Coordenação Aerotática/CAPCMG/PCMG","30"
"IPSEMG","IPSEMG/DEDIAG-AGT-COORD","Coordenação Agência Transfusional","25"
"UEMG","UEMG/DIVINOPOLIS/CB","Coordenação Bacharelado UEMG Divinópolis","19"
"SES","SES/SUBGF-SGDP-DRH-CCARH-APOIO","Coordenação Central de Atendimento em Recursos Humanos - Apoio","193"
"SES","SES/SUBGF-SGDP-DRH-CCARH-ARQUI","Coordenação Central de Atendimento em Recursos Humanos - Arquivos","9"
"FHEMIG","FHEMIG/CHE/DASS/GMO/COORDCIRUR","Coordenação Cirúrgica - HAC","56"
"DPMG","DPMG/COORDCRIM","Coordenação Criminal da Capital","1"
"FHEMIG","FHEMIG/CHU/GMA/ANESTESIOLOGIA","Coordenação da Anestesiologia","517"
"FHEMIG","FHEMIG/CHU/GADT/FAR","Coordenação da Assistencia Farmaceutica","1507"
"FHEMIG","FHEMIG/CHU/GMA/CIAToxMG","Coordenação da Assistencia Toxicologica","359"
"FHEMIG","FHEMIG/CHU/GMA/BUCOMAXILO","Coordenação da Bucomaxilo","527"
"FHEMIG","FHEMIG/CHU/GSI/CEEC/COORD","Coordenação da Central de Equipamentos e Engenharia Clínica","50"
"IPSEMG","IPSEMG/DEDIAG-CME-COORD","Coordenação da Central de Material de Esterilização","46"
"FHEMIG","FHEMIG/CHU/GAC/CME","Coordenação da Central de Material e Esterilização","1235"
"FHEMIG","FHEMIG/CHU/GAC/CME HMAL","Coordenação da Central de Material e Esterilização - HMAL","19"
"PCMG","PCMG/SIPJ/CEPD/GABINETE","Coordenação da Central Estadual do Plantão Digital/SIPJ/PCMG - Gabinete/SIPJ/PCMG","42"
"FHEMIG","FHEMIG/CHU/GMA/CGL","Coordenação da Cirurgia Geral","456"
"FHEMIG","FHEMIG/CHU/GMA/VASCULAR","Coordenação da Cirurgia Vascular","407"
"FHEMIG","FHEMIG/CHU/GMA/CLME HJXXIII","Coordenação da Clinica Medica","116"
"IPSEMG","IPSEMG/DEDIAG-END-COORD","Coordenação da Endoscopia","31"
"FHEMIG","FHEMIG/CHU/GEM/FISIO HJXXIII","Coordenação da Fisioterapia - HJXXIII","722"
"IPSEMG","IPSEMG/DEENF-FONO-COORD","Coordenação da Fonoaudiologia","20"
"IPSEMG","IPSEMG/DEDIAG-HMD-COORD","Coordenação da Hemodinâmica","12"
"FHEMIG","FHEMIG/HRJP/GASS/CM","Coordenação da Maternidade","274"
"IPSEMG","IPSEMG/DEENF-MIH-COORD","Coordenação da Movimentação Intra-hospitalar","3"
"FHEMIG","FHEMIG/CHU/GMA/NEUROLOGIA","Coordenação da Neurologia e Neurocirurgia","694"
"FHEMIG","FHEMIG/CHU/GMA/OFTALMOLOGIA","Coordenação da Oftalmologia","354"
"IPSEMG","IPSEMG/DEAME-OFTALMO","Coordenação da Oftamologia","26"
"FHEMIG","FHEMIG/CHU/GMA/ORTOPEDIA","Coordenação da Ortopedia","82"
"FHEMIG","FHEMIG/CHU/GMA/ORL","Coordenação da Otorrinolaringologia","71"
"FHEMIG","FHEMIG/CHU/GMA/PLASTICA","Coordenação da Plastica","41"
"PCMG","PCMG/SPTC/COORD","Coordenação da Superintendência de Polícia Técnico-Científica/SPTC/PCMG","18"
"FHEMIG","FHEMIG/HRJP/GASS/CUC","Coordenação da Unidade Cirúrgica","636"
"FHEMIG","FHEMIG/HRJP/GASS/CUC/CME","Coordenação da Unidade Cirúrgica - Centro de Material Esterelizado","55"
"FHEMIG","FHEMIG/CHU/GMC/UI ADULTO","Coordenação da Unidade de Internação - Adulto","1026"
"FHEMIG","FHEMIG/CHU/GMC/UI PED","Coordenação da Unidade de Internação - Pediatria","532"
"FHEMIG","FHEMIG/CHU/GMC/UI ADULTO/ADM","Coordenação da Unidade de Internação  Adulto (Administrativos)","97"
"FHEMIG","FHEMIG/CHU/GMC/UI PED/ADM","Coordenação da Unidade de Internação  Pediatria (Administrativos)","390"
"FHEMIG","FHEMIG/CHU/GAC/UIC","Coordenação da Unidade de Internação Cirurgica","259"
"FHEMIG","FHEMIG/CHU/GAC/UIC ADM","Coordenação da Unidade de Internação Cirúrgica - Administrativos","83"
"FHEMIG","FHEMIG/CHU/GAC/UIC HMAL","Coordenação da Unidade de Internação Cirurgica - HMAL","208"
"FHEMIG","FHEMIG/CHU/GAC/UIC HMAL/ADM","Coordenação da Unidade de Internação Cirurgica  HMAL (Administrativos)","180"
"FHEMIG","FHEMIG/HRJP/GASS/UPER/CUPER","Coordenação da Unidade de Pacientes Externos e Reabilitação - Coordenador","65"
"FHEMIG","FHEMIG/CHU/GTIN/UTI ADULTO","Coordenação da Unidade de Terapia Intensiva - Adulto","108"
"FHEMIG","FHEMIG/CHU/GTIN/UTI PED","Coordenação da Unidade de Terapia Intensiva - Pediatria","860"
"FHEMIG","FHEMIG/CHU/GTIN/UTI PED/ADM","Coordenação da Unidade de Terapia Intensiva - Pediatria (Administrativo)","32"
"FHEMIG","FHEMIG/HRJP/GASS/CUPC/NEO","Coordenação das Unidades de Pacientes Críticos - Uti Neonatal","355"
"FHEMIG","FHEMIG/HRJP/GASS/CUPC/PED","Coordenação das Unidades de Pacientes Críticos - Uti Pediátrica","130"
"GMG","GMG/CEDEC/NUCLEOREDEC","Coordenação das Unidades Regionais de Defesa Civil","30"
"SES","SES/URSLPD-CASES","Coordenação de Acesso a Serviços de Saúde - URSLPD","405"
"SES","SES/SUBGF-SPF-DCF-AD","Coordenação de Acompanhamento de Despesas","205"
"SEPLAG","SEPLAG/CAIP","Coordenação de Acompanhamento de Investimentos Públicos","6"
"SES","SES/SUBGF-SPF-DPC-CARC","Coordenação de Acompanhamento e Responsabilização de Convênios","87"
"SEPLAG","SEPLAG/DCGDS -ACF-PROCESSO","Coordenação de Acúmulo de Cargos e Funções - Processos de Acúmulo de Cargos Instruídos para Validação","6820"
"SEPLAG","SEPLAG/DCGDS -ACF-JUDICIAL","Coordenação de Acúmulo de Cargos e Funções - Processos Judiciais","48"
"SEPLAG","SEPLAG/DCGDS -ACF-CACF","Coordenação de Acúmulo de Cargos e Funções - Processos Oriundos da Comissão de Acumulação de Cargos e Funções","11"
"SES","SES/SUBR-SIR-DARPS-CACPES","Coordenação de Adesão e Cadastro de Políticas Estaduais de Saúde","52"
"FJP","FJP/GRH-CAP","Coordenação de Administração de Pessoal","119"
"SEPLAG","SEPLAG/CAT","Coordenação de Administração de Trânsito","128"
"PCMG","DETRAN/CAT/CHAMADOS","Coordenação de Administração de Trânsito - Chamados","88"
"SEPLAG","SEPLAG/CAT/CLONAGEM","Coordenação de Administração de Trânsito - Clonagem","120"
"SEPLAG","SEPLAG/CAT/GUICHE","Coordenação de Administração de Trânsito - Guichê","1105"
"PCMG","DETRAN/CAT/UAI","Coordenação de Administração de Trânsito - UAI","159"
"FCS","FCS/GLM/Almoxarifado","Coordenação de Almoxarifado","41"
"SES","SES/SUBRAS-SAE-DPEAE-CAC","Coordenação de Alta Complexidade","30"
"FJP","FJP/DIREI-CAIP","Coordenação de Análise de Insumo-Produto","2"
"SES","SES/SUBGF-SILC-DC-CAP","Coordenação de Análise Processual","22"
"SES","SES/SUBGF-SILC-DIFE-CATE","Coordenação de Análise Técnica de Engenharia","56"
"SES","SES/SUBGF-SILC-DC-CAE","Coordenação de Apoio à Execução","48"
"FHEMIG","FHEMIG/HRJP/GASS/CADT/AGENCIA","Coordenação de Apoio, Diagnóstico e Terapêutico - Agência Transfusional","484"
"FHEMIG","FHEMIG/HRJP/GASS/CADT/LAB","Coordenação de Apoio, Diagnóstico e Terapêutico - LABORATÓRIO","899"
"UEMG","UEMG/DIVINOPOLIS/COORDAHIS","Coordenação de Área História UEMG Divinópolis","18"
"SES","SES/SUBGF-SILC-DIFE-CAPE","Coordenação de Arquitetura e Planejamento de Edificações","13"
"SEDESE","SEDESE/SUBPG-SGFRH-DRH-ARQ","Coordenação de Arquivo","319"
"FHEMIG","FHEMIG/CHU/GGI/CAME","Coordenação de Arquivo Medico e Estatistica","109"
"FHEMIG","FHEMIG/CHU/GGI/CAME/OFICIO","Coordenação de Arquivo Medico e Estatistica - OFICIO","10"
"FHEMIG","FHEMIG/CHU/GGI/CAME/SERV","Coordenação de Arquivo Medico e Estatistica - Servidores","44"
"SES","SES/SUBRAS-SRAS-CAE","Coordenação de Assessoramento de Entregas","37"
"FHEMIG","FHEMIG/DIRASS/GADT/COAF","Coordenação de Assistência Farmacêutica","36"
"SES","SES/URSBH-CAF-BAEST","Coordenação de Assistência Farmacêutica - Básicos e Estratégicos","10"
"FHEMIG","FHEMIG/HRJP/GASS/CAF","Coordenação de Assistência Farmacêutica - CAF","8"
"FHEMIG","FHEMIG/HRJP/GASS/CAF/FARMÁCIA","Coordenação de Assistência Farmacêutica - Farmácia","29"
"FHEMIG","FHEMIG/HRJP/GASS/CAF/MMH","Coordenação de Assistência Farmacêutica - Material Médico Hospitalar","27"
"SES","SES/URSALF-CAF","Coordenação de Assistência Farmacêutica - SRSALF","70"
"SES","SES/URSBRB-CAF","Coordenação de Assistência Farmacêutica - SRSBRB","346"
"SES","SES/URSCFA-CAF","Coordenação de Assistência Farmacêutica - SRSCFA","16"
"SES","SES/URSGVA-CAF","Coordenação de Assistência Farmacêutica - SRSGVA","283"
"SES","SES/URSITU-CAF","Coordenação de Assistência Farmacêutica - SRSITU","22"
"SES","SES/URSMAN-CAF","Coordenação de Assistência Farmacêutica - SRSMAN","169"
"SES","SES/URSPNO-CAF","Coordenação de Assistência Farmacêutica - SRSPNO","557"
"SES","SES/URSTOF-CAF","Coordenação de Assistência Farmacêutica - SRSTOF","528"
"SES","SES/URSUDI-CAF","Coordenação de Assistência Farmacêutica - SRSUDI","7"
"SES","SES/URSURA-CAF","Coordenação de Assistência Farmacêutica - SRSURA","45"
"SES","SES/URSBH-CAF","Coordenação de Assistência Farmacêutica - URSBH","33"
"SES","SES/URSDIA-CAF","Coordenação de Assistência Farmacêutica - URSDIA","94"
"SES","SES/URSDIV-CAF","Coordenação de Assistência Farmacêutica - URSDIV","59"
"SES","SES/URSITA-CAF","Coordenação de Assistência Farmacêutica - URSITA","483"
"SES","SES/URSJAN-CAF","Coordenação de Assistência Farmacéutica - URSJAN","765"
"SES","SES/URSJFO-CAF","Coordenação de Assistência Farmacéutica - URSJFO","325"
"SES","SES/URSLPD-CAF","Coordenação de Assistência Farmacêutica - URSLPD","277"
"SES","SES/URSMOC-CAF","Coordenação de Assistência Farmacêutica - URSMOC","635"
"SES","SES/URSPAS-CAF","Coordenação de Assistência Farmacêutica - URSPAS","852"
"SES","SES/URSPAT-CAF","Coordenação de Assistência Farmacêutica - URSPAT","682"
"SES","SES/URSPAZ-CAF","Coordenação de Assistência Farmacêutica - URSPAZ","884"
"SES","SES/URSPIR-CAF","Coordenação de Assistência Farmacêutica - URSPIR","125"
"SES","SES/URSPOU-CAF","Coordenação de Assistência Farmacéutica - URSPOU","9"
"SES","SES/URSSET-CAF","Coordenação de Assistência Farmacêutica - URSSET","569"
"SES","SES/URSSJD-CAF","Coordenação de Assistência Farmacêutica - URSSJD","396"
"SES","SES/URSUBA-CAF","Coordenação de Assistência Farmacêutica - URSUBA","153"
"SES","SES/URSUNA-CAF","Coordenação de Assistência Farmacêutica - URSUNA","298"
"SES","SES/URSVAR-CAF","Coordenacão de Assistência Farmacêutica - URSVAR","508"
"SEJUSP","SEJUSP/CPAR","Coordenação de Assuntos Parlamentares","12"
"PCMG","PCMG/SIPJ/DEF/CAPA","Coordenação de Assuntos Policiais e Administrativos/DEF/SIPJ/PCMG","1071"
"PCMG","PCMG/DENARC/CAPA-CPD","Coordenação de Assuntos Policiais e Administrativos/DENARC/PCMG","41"
"PCMG","PCMG/DIHPP/COORDENAÇÃO","Coordenação de Assuntos Policiais e Administrativos/DIHPP/PCMG","39"
"SES","SES/URSALF-CAS","Coordenação de Atenção à Saúde - URSALF","512"
"SES","SES/URSBH-CAS","Coordenação de Atenção à Saúde - URSBH","475"
"SES","SES/URSBRB-CAS","Coordenação de Atenção à Saúde - URSBRB","374"
"SES","SES/URSCFA-CAS","Coordenação de Atenção à Saúde - URS-CFA","273"
"SES","SES/URSDIA-CAS","Coordenação de Atenção à Saúde - URSDIA","67"
"SES","SES/URSDIV-CAS","Coordenação de Atenção à Saúde - URSDIV","64"
"SES","SES/URSGVA-CAS","Coordenação de Atenção à Saúde - URSGVA","739"
"SES","SES/URSITA-CAS","Coordenação de Atenção à Saúde - URSITA","405"
"SES","SES/URSITU-CAS","Coordenação de Atenção à Saúde - URSITU","342"
"SES","SES/URSJAN-CAS","Coordenação de Atenção à Saúde - URSJAN","65"
"SES","SES/URSJFO-CAS","Coordenação de Atenção à Saúde - URSJFO","267"
"SES","SES/URSMAN-CAS","Coordenação de Atenção à Saúde - URSMAN","534"
"SES","SES/URSMOC-CAS","Coordenação de Atenção à Saúde - URSMOC","168"
"SES","SES/URSPAS-CAS","Coordenação de Atenção à Saúde - URSPAS","568"
"SES","SES/URSPAT-CAS","Coordenação de Atenção à Saúde - URSPAT","111"
"SES","SES/URSPAZ-CAS","Coordenação de Atenção à Saúde - URSPAZ","504"
"SES","SES/URSPIR-CAS","Coordenação de Atenção à Saúde - URSPIR","341"
"SES","SES/URSPNO-CAS","Coordenação de Atenção à Saúde - URSPNO","351"
"SES","SES/URSPOU-CAS","Coordenação de Atenção à Saúde - URSPOU","208"
"SES","SES/URSSET-CAS","Coordenação de Atenção à Saúde - URSSET","135"
"SES","SES/URSSJD-CAS","Coordenação de Atenção à Saúde - URSSJD","59"
"SES","SES/URSTOF-CAS","Coordenação de Atenção à Saúde - URSTOF","1311"
"SES","SES/URSUBA-CAS","Coordenação de Atenção à Saúde - URSUBA","386"
"SES","SES/URSUDI-CAS","Coordenação de Atenção à Saúde - URSUDI","49"
"SES","SES/URSUNA-CAS","Coordenação de Atenção à Saúde - URSUNA","34"
"SES","SES/URSURA-CAS","Coordenação de Atenção à Saúde - URSURA","836"
"SES","SES/URSVAR-CAS","Coordenação de Atenção à Saúde - URSVAR","381"
"SES","SES/SUBRAS-SAE-DPE-CASPD-DR","Coordenação de Atenção à Saúde da Pessoa com Deficiência e Doenças Raras","160"
"CGE","CGE/CAC","Coordenação de Auditoria Contínua","9"
"SES","SES/SUBGF-SGDP-DRH-CBA","Coordenação de Benefícios e Aposentadoria","48"
"SES","SES/SUBGF-SGDP-DRH-CBA-SIPE","Coordenação de Benefícios e Aposentadoria  - Sistema de Indexação de Pasta Eletrônica","60"
"SES","SES/SUBGF-SGDP-DRH-CBA-AP","Coordenação de Benefícios e Aposentadoria - Aposentadoria","50"
"SES","SES/SUBGF-SGDP-DRH-CBA-CT","Coordenação de Benefícios e Aposentadoria - Contagem de Tempo","40"
"FCS","FCS/CBIBLI","Coordenação de Biblioteconomia","6"
"FCS","FCS/GLM/Brigada de Incêndio","Coordenação de Brigada de Incêndio","60"
"IPSEMG","IPSEMG/DECOSES-COCP","Coordenação de Cadastro de Prestadores","63"
"CODEMGE","CODEMGE/GEPAT/CCIP","Coordenação de Caracterização e Incorporação Patrimonial","210"
"SES","SES/SUBGF-SGDP-DRH-CCME-AAC","Coordenação de Carreiras e Movimentação Externa  Acúmulo de Cargos","25"
"SES","SES/SUBGF-SGDP-DRH-CCME","Coordenação de Carreiras e Movimentações Externas","6"
"SES","SES/SUBRAS-SAPS-DGIC-CCV","Coordenação de Ciclos de Vida","81"
